prompt_source,target,metric,comparison,diff_mean,ci95_low,ci95_high,p_two_sided,n,failures
detector,failure70,AUPRC,SPRC-CB - Confidence,0.029788849735951608,0.0033675175518268685,0.05634222460819504,0.0292,525,217
detector,failure80,AUPRC,SPRC-CB - Confidence,0.027132902613372825,0.012013177800264067,0.04277688081101797,0.0004,525,275
detector,severe50,AUPRC,SPRC-CB - Confidence,0.033506202798667305,-0.004862517329575375,0.07331507759556843,0.092,525,178
noisy10,failure70,AUPRC,SPRC-CB - Confidence,0.1383615165363178,0.0637679625032943,0.2131359500059523,0.0004,525,37
noisy10,failure80,AUPRC,SPRC-CB - Confidence,0.09940652059139891,0.043438140527978855,0.1543037466621703,0.0008,525,66
noisy10,severe50,AUPRC,SPRC-CB - Confidence,0.1016428185038568,0.04756004227901446,0.17589791480941372,0.0,525,20
noisy20,failure70,AUPRC,SPRC-CB - Confidence,0.06583374145339521,-0.012230966153350325,0.14535052932776488,0.0984,525,58
noisy20,failure80,AUPRC,SPRC-CB - Confidence,0.04561885040199964,0.0003630696593060232,0.09440870265602086,0.0484,525,110
noisy20,severe50,AUPRC,SPRC-CB - Confidence,-0.013851304135008269,-0.11041078942973985,0.0785327239556289,0.7992,525,35
oracle,failure70,AUPRC,SPRC-CB - Confidence,0.14309295830549118,0.06724466038454274,0.22818666797057616,0.0,525,28
oracle,failure80,AUPRC,SPRC-CB - Confidence,0.08602053377052635,0.019092014424640338,0.15288586796691486,0.0104,525,50
oracle,severe50,AUPRC,SPRC-CB - Confidence,0.06994096331936298,0.01740385322769834,0.18410605943666755,0.0016,525,9
