config,failure70,failure80,severe50
band_narrow,0.05695639511780837,0.05108739152624786,0.09208000461870425
band_wide,0.03277816654265997,0.03634502859764499,0.059817327182933755
default,0.06028680062212699,0.05423163131503306,0.09557650811520779
jitter_pm12,0.06401318529065125,0.03514141529143988,0.019075133521773813
jitter_pm3,0.02440350824888904,0.015102441541178235,0.016158329193088572
neg_none,0.06349192882725518,0.04788756001769068,0.08753455007324984
neg_random,0.06028680062212699,0.05423163131503306,0.09557650811520779
scale_narrow,0.1036285880116079,0.08808593575212054,0.13194014447884417
scale_wider,0.15075520074531068,0.14045688964187764,0.1519800859302689
