config,axis,value,target,n,failures,mean_dice,SPRC_CB_AUPRC,Conf_AUPRC,delta_vs_conf
default,default,default,failure70,150,18,0.8661089058554452,0.7015023072234113,0.6412155066012843,0.06028680062212699
default,default,default,failure80,150,21,0.8661089058554452,0.7216172251831252,0.6673855938680922,0.05423163131503306
default,default,default,severe50,150,11,0.8661089058554452,0.6257571461905826,0.5301806380753749,0.09557650811520779
jitter_pm3,jitter,pm3pct,failure70,150,18,0.8661089058554452,0.7142359557695087,0.6898324475206197,0.02440350824888904
jitter_pm3,jitter,pm3pct,failure80,150,21,0.8661089058554452,0.6899696431652922,0.674867201624114,0.015102441541178235
jitter_pm3,jitter,pm3pct,severe50,150,11,0.8661089058554452,0.601939971792913,0.5857816425998245,0.016158329193088572
jitter_pm12,jitter,pm12pct,failure70,150,18,0.8661089058554452,0.6966131100500742,0.632599924759423,0.06401318529065125
jitter_pm12,jitter,pm12pct,failure80,150,21,0.8661089058554452,0.7341129849892202,0.6989715696977803,0.03514141529143988
jitter_pm12,jitter,pm12pct,severe50,150,11,0.8661089058554452,0.5936948558687689,0.5746197223469951,0.019075133521773813
scale_narrow,scales,narrow,failure70,150,18,0.8661089058554452,0.7163358289648277,0.6127072409532198,0.1036285880116079
scale_narrow,scales,narrow,failure80,150,21,0.8661089058554452,0.7314111866661469,0.6433252509140264,0.08808593575212054
scale_narrow,scales,narrow,severe50,150,11,0.8661089058554452,0.6166662370996736,0.48472609262082944,0.13194014447884417
scale_wider,scales,wider,failure70,150,18,0.8661089058554452,0.7111621946610766,0.5604069939157659,0.15075520074531068
scale_wider,scales,wider,failure80,150,21,0.8661089058554452,0.7324506378022521,0.5919937481603744,0.14045688964187764
scale_wider,scales,wider,severe50,150,11,0.8661089058554452,0.611559647782558,0.4595795618522891,0.1519800859302689
band_wide,consensus_band,"[0.10,0.90]",failure70,150,18,0.8661089058554452,0.6739936731439443,0.6412155066012843,0.03277816654265997
band_wide,consensus_band,"[0.10,0.90]",failure80,150,21,0.8661089058554452,0.7037306224657371,0.6673855938680922,0.03634502859764499
band_wide,consensus_band,"[0.10,0.90]",severe50,150,11,0.8661089058554452,0.5899979652583086,0.5301806380753749,0.059817327182933755
band_narrow,consensus_band,"[0.30,0.70]",failure70,150,18,0.8661089058554452,0.6981719017190927,0.6412155066012843,0.05695639511780837
band_narrow,consensus_band,"[0.30,0.70]",failure80,150,21,0.8661089058554452,0.71847298539434,0.6673855938680922,0.05108739152624786
band_narrow,consensus_band,"[0.30,0.70]",severe50,150,11,0.8661089058554452,0.6222606426940791,0.5301806380753749,0.09208000461870425
neg_none,negative_point,none,failure70,150,18,0.8661089058554452,0.7047074354285395,0.6412155066012843,0.06349192882725518
neg_none,negative_point,none,failure80,150,21,0.8661089058554452,0.7152731538857828,0.6673855938680922,0.04788756001769068
neg_none,negative_point,none,severe50,150,11,0.8661089058554452,0.6177151881486247,0.5301806380753749,0.08753455007324984
neg_random,negative_point,random_in_band,failure70,150,18,0.8661089058554452,0.7015023072234113,0.6412155066012843,0.06028680062212699
neg_random,negative_point,random_in_band,failure80,150,21,0.8661089058554452,0.7216172251831252,0.6673855938680922,0.05423163131503306
neg_random,negative_point,random_in_band,severe50,150,11,0.8661089058554452,0.6257571461905826,0.5301806380753749,0.09557650811520779
